content,sentiment,date
chi equipara il  greenpass alla patente di guida dovrebbe fare lo stunt driver domani mattina senza un briciolo di preparazione e firmando una manleva per eventuali danni   obbligovaccinale,0,07-15-2021
ok  facciamo che senza  greenpass non puoi neanche uscire dal balcone  ma chi dovrebbe controllare se hai o meno il greenpass  perche  i controlli ci sono stati solo durante il lockdown nel marzo   dopodiche  non si e  visto piu  nessuno ,0,07-14-2021
green pass obbligatorio come in francia  meloni   idea raggelante  ,0,07-13-2021
approfondimenti  serie a  dal pino  vogliamo stadi pieni con green pass   ansa    milano   lug    il  agosto vogliamo vedere gli stadi pieni col green pass  in modo che sia anche incentivo alle vaccinazioni   lo ha detto il presidente della lega     ,0,07-14-2021
stiamo esagerando  pensate possa essere normale che ad esempio il cameriere di un ristorante sappia i cavoli miei a livello sanitario  poniamo fine a questa follia per favore  greenpass,-1,07-14-2021
il sondaggio  il green pass obbligatorio piace anche agli elettori di salvini e meloni ,0,07-15-2021
italia verso la proroga dello stato di emergenza  green pass per andare al ristorante ,0,07-14-2021
a me il messaggio per scaricare il mio green pass non e  ancora arrivato  greenpassobbligatorio,0,07-15-2021
capite perché la trasmissione di stasera ha fallito  un ora persa  solo chiacchiere  non ha focalizzato un punto essenziale  il green pass non certifica la mia immunità  non è stato casuale  non si vuole far capire  ,-1,07-14-2021
mi sembra corretto nei confronti delle persone che hanno fatto entrambi le dosi e vi hanno garantito la libertà di uscire   è solo una questione di rispetto   vai col modello alla francese   greenpass,1,07-14-2021
e  vergognoso    greenpass,-1,07-14-2021
siete liberi di non  vaccinarvi ma senza rompere il cazzo a noi  quindi green pass obbligatorio subito per certi luoghi,1,07-15-2021
mi è arrivato il green pass ,0,07-13-2021
il green pass non serve visto la grande truffa  green pass vogliono metterlo per invogliare gli idioti a farsi inietare veleni all ennesima potenza contenuti nei vaccini ,-1,07-01-2021
 inonda la proposta del ministro patuanelli   green pass per entrare in  discoteca  ,0,07-13-2021
pure nei centri commerciali  greenpass ,0,07-14-2021
oddio mi è arrivato il messaggio del green pass proprio in questo momento,0,07-03-2021
storicamente i francesi sono un popolo con le palle che hanno ribaltato varie forme di oppressione   vedremo dopo le caz   te di  macron se succederà qualcosa o se ci saranno teste basse e pedalare  norimberga  greenpass  variantedelta,0,07-14-2021
bugia  il green pass non è uno strumento di libertà  ma il primo passo verso la perdita di tutte le libertà costituzionali che hanno conquistato i nostri padri ed i padri dei nostri padri e che voi al governo state calpestando e distruggendo  ,-1,07-15-2021
green pass a manetta e corsi di alfabetizzazione  specie nelle sedi di lega e fdi  ,1,07-14-2021
 greenpass incostituzionale   se mia madre muore perché qualcuno non vuole il vaccino  diventando un moderno untore  oltre a essere incostituzionale  è lontano da qualsiasi stato civile  un delinquente ,1,07-14-2021
covid  green pass  dove e quando serve in italia  le ipotesi del governo  via ,0,07-15-2021
anche la grecia come la francia richiederà il green pass per fruire di ristoranti al chiuso ,0,07-13-2021
se uno si caga sotto per il vaccino che ha una mortalità inferiore a  su   non deve neppure uscire di casa perché la mortalità per incidente in moto macchina o pedone è molto superiore  quindi giusto il  greenpass o a casa chiuso al sicuro ,1,07-15-2021
green pass  passaporto vaccinale   come averlo  a che serve e come funziona ,0,07-08-2021
ora con non mai dobbiamo unire le nostre forze contro la  dittaturasanitaria  formiamo un corpo unico con un unica voce  qui il mio video appello     greenpass  variantedelta ,-1,07-14-2021
trovatemi un alternativa migliore al greenpass  avanti  o dovremmo di nuovo iniziare a chiudere tutto perché  il greenpass lederebbe le vostre libertà individuali   e chiusure e restrizioni per colpa vostra non ledono le libertà individuali   greenpassobbligatorio,1,07-15-2021
vaccini greenpass  ma lo capite chestemmerde ci ricattano ,-1,07-14-2021
 utilizzare il  greenpass per eventi  come ristoranti e trasporti come si è deciso in francia  può essere una strada percorribile   lo dice il generale francesco paolo  figliuolo  commissario straordinario all emergenza covid  intervenendo al tg post ,0,07-12-2021
 greenpass per i  ristoranti anche in  italia  come avviene in  francia  ,0,07-14-2021
 rt   il governo italiano pensa a un green pass  alla francese  in tutti i luoghi a rischio assembramento  videoscheda  tutte le possibilità       news  italia  mediaset  covid  greenpass,0,07-15-2021
il  greenpass obbligatorio è la migliore strategia per favorire le vaccinazioni  sono assolutamente favorevole  chi parla di libertà non ha il minimo rispetto del prossimo  semina ignoranza per raccogliere una manciata di luridi voti ,1,07-15-2021
green pass  vogliono utilizzare il ricatti per convincere gli italiani a vaccinarsi  l italia è ancora un paese libero o no ,-1,07-15-2021
ma se anche un vaccinato può contrarre il virus  non è immune  e può contagiare  motivo per cui se devi fare un intervento in ospedale ti fanno il tampone a prescindere che tu sia vaccinato    che garanzia si ha ad avere il greenpass    greenpassobbligatorio,0,07-15-2021
in lombardia è possibile richiedere il  greenpass  presentandosi con la tessera sanitaria o un documento di riconoscimento  nelle farmacie  dal proprio medico di medicina generale e dal pediatra   news di lombardia notizie online   ,0,07-12-2021
la proposta di macron di estendere il green pass per tutte le attività sociali mostra che la folle corsa alla vaccinazione di massa si sta traducendo in una sospensione progressiva di molte libertà  ,-1,07-14-2021
mi è arrivato il green pass top,0,07-14-2021
a proposito di green pass  a me ancora non è disponibile sul fascicolo sanitario elettronico  ma che sang e chivemmuort ata passat ,0,07-14-2021
se mi chiedi il  greenpass il caffè me lo bevo a casa,-1,07-15-2021
 sono favorevole all estensione dell uso del  greenpass  il nostro obiettivo deve essere quello di ripartire  senza più chiusure  permettendo ai nostri ragazzi di andare a scuola  di fare sport e attività in sicurezza     ,1,07-15-2021
comunque la cosa che un soggetto privato debba verificare se un suo possibile cliente abbia o no il  greenpass me sembra una follia     serve un obbligo vaccinale  allora spetta a chi di dovere fare i controlli,-1,07-14-2021
da vaccinato  inorridisco davanti al green pass e alla vaccinazione obbligatoria ,-1,07-14-2021
che il  greenpass in salsa francese sia incostituzionale è la più grossa cazzata del mese   vaccinatevi o state a casa a voi la scelta ,1,07-14-2021
la  francia ha scelto la scienza   noi che aspettiamo    obbligovaccinale per i sanitari e  greenpass per accedere ovunque   non c è più un minuto da perdere  ,1,07-13-2021
non capisco perché ci siano vaccinati così incattiviti con chi il vaccino non lo vuole fare  sono protetti dalle conseguenze più gravi  almeno in teoria   cosa gliene frega  libertà di decidere della propria salute  sempre  chi inneggia al  greenpass è un novello nazista ,0,07-15-2021
comunque io il  greenpass ce l ho quindi per me potete chiederlo anche per andare in bagno   greenpassobbligatorio,1,07-15-2021
da oggi in vigore il green pass europeo  uno strumento che favorisce il rilancio dell economia  tutela la salute e rende tangibile il segno di quell unione europea che ha scelto senza incertezze la strada della condivisione per contrastare la pandemia    ,1,07-01-2021
 greenpass per andare sl bar  siete pazzi   va bene la prudenza ma vi rubano la libertà e voi dite anche grazie  fatevi qualche domanda in più  pensate da soli e non per sentito dire   il pensiero critico fa crescere ,-1,07-13-2021
 greenpass se vuoi vivere come nel  sei libero di farlo  non disturbare noi che viviamo nel  ,0,07-14-2021
ma che greenpass è greenpass   devono poter entrare tutti d ovunque   poi  se chi non è vaccinato ci lascia le penne  caxxi suoi    staseraitalia,-1,07-15-2021
la soluzione sarebbe introdurre il green pass ovunque  per andare al bar  in aereo  al lavoro  in autostrada  al supermercato  negli uffici pubblici  nei luoghi all aperto  e far pagare € il tampone  che valga solo  ore  vedi come si prosciuga la palude novax ,1,07-06-2021
se non con il  greenpass o tamponi  come vuole controllare gli ingressi nelle sue care discoteche o locali per giovani il nostro amato  salvini     ridicolo    ,1,07-14-2021
per essere  libero   devi diventare schiavo       greenpass  tamponi  primadose  secondadose  terzadose  quartadose  vaccini,-1,07-15-2021
ecco l esito del green pass     non serve a niente     praticamente come non averlo       ed anche la vaccinazione    come non somministrata  grazie cts  pierpaolo sileri  ministro roberto speranza  ecc      mi viene spontaneo  andate a ca  re  testine di ca  o  incapaci     ,-1,07-14-2021
green pass come in francia  l italia ci pensa  sileri   fare subito come macron  ,0,07-14-2021
green pass obbligatorio per bar  ristoranti e luoghi pubblici  l italia segue la francia   via   greenpass,0,07-13-2021
ma porca di quella puttana troia schifosa la volete capire che il tampone non serve a niente perchè il virus non è stato isolato e il  greenpass e il  vaccino non servono a una beata mazza  zonabianca,-1,07-14-2021
la variante delta avanza ovunque  è necessario il green pass obbligatorio per ogni partecipazione al chiuso  e chi se ne frega se salvini è contrario,1,07-15-2021
francia  corsa al vaccino con il green pass obbligatorio per locali e trasporti   milione di richieste mi spiace per loro  ma la cosa mi consola parzialmente  abbiamo la dimostrazione che i  cugini d oltralpe  sono ben peggio di noi   ,0,07-13-2021
più che guerra al covid è istigazione alla guerra civile  greenpass,-1,07-14-2021
green pass  basta la prima dose per viaggiare in ue    nonstopnews  novasocialnews  ultimora  news  allnews,0,07-01-2021
il  greenpass è la moderna tessera del partito fascista  la cosa curiosa è che ad anelarlo sono gli stessi che fino a ieri si dichiaravano sinceri antifascisti  siete dei buffoni illiberali e schiavi di regime per natura ,-1,07-14-2021
approvo totalmente la decisione di macron per il green pass per i bar e ristoranti  cazzo rendetevi conto che siamo in una pandemia  non parliamo di un raffreddore cue si prendono quattro gatti di paese,1,07-13-2021
 il  greenpass potrebbe diventare obbligatorio per ristoranti e mezzi di trasporto  l  italia valuta il modello francese  no di lega e meloni  le misure allo studio prevedono la proroga dello stato di  emergenza di almeno  mesi    covid  ,0,07-14-2021
libertà di scelta per il vaccino  no al green pass o passaporto vaccinale  no all obbligo vaccinale   firma la petizione   via ,-1,07-09-2021
la libertà individuale ha come limite il rispetto dell altrui libertà   si rispetti la scelta dei  novax  così come si rispetti quella di chi non vuole ammalarsi di sars cov    il  greenpass pass alla francese salvaguarda entrambi i diritti  ben venga anche in italia,1,07-14-2021
green pass italia obbligatorio per palestre e discoteche  ristoranti al chiuso  le ipotesi   ,0,07-15-2021
secondo me se vogliamo dare un futuro ai nostri figli serve il  greenpass è una possibilità  proviamoci,1,07-15-2021
dopo l annuncio di macron anche l italia potrebbe valutare l utilizzo del green pass anche per tutte le attività ricreative e culturali  dall accesso ai ristoranti e bar fino a quello agli stadi e cinema   di   ,0,07-13-2021
io il green pass alla francese sono super favorevole  però bisogna darmi la possibilità di averlo   con questo ritmo lo vedrò ad ottobre  ,1,07-14-2021
l idea di utilizzare il green pass per poter partecipare alla vita sociale è raggelante  è l ultimo passo verso la realizzazione di una società orwelliana  una follia anticostituzionale da respingere con forza  la libertà individuale è sacra e inviolabile,-1,07-13-2021
allora  si lamentano del green pass  non vogliono sentir parlare di eventuali chiusure in base alla risalita dei contagi  sono no vax  ecco mi chiedo  cosa caxxo vogliono  queste cose mi mandano al manicomio ,0,07-15-2021
i  vaccinati non sono immuni  vedi  uk e  israele  possono diffondere  virus e soprattutto  varianti da loro stessi generate  farli girare liberamente il  greenpass è una follia  fermate le vaccinazioni o sarà un disastro  ,-1,07-05-2021
osannate tutti sti vaccini sperimentali fasulli quando poi a ottobre tornerete tutti a casa  poveri illusi   greenpass ,-1,07-14-2021
non vogliamo chiuderci in casa  ma non vogliamo chiedere le vaccinazioni obbligatorie…esattamente come facciamo a limitare l ondata che sta arrivando   greenpass  vaccinationcovid,0,07-14-2021
green pass obbligatorio  il governo ci pensa  ristoratori sul piede di guerra ,0,07-14-2021
la tattica è semplice  dare la colpa delle prossime ondate e delle chiusure ai non vaccinati  così sarà la gente stessa che invocherà il  greenpass ,0,07-14-2021
oggi è entrato in vigore il  greenpass europeo  ecco cos è e come funziona     turismo  viaggi,0,07-01-2021
il  greenpass è la moderna tessera del partito fascista  la cosa curiosa è che ad anelarlo sono gli stessi che fino a ieri si dichiaravano sinceri antifascisti  siete dei buffoni illiberali e schiavi di regime per natura ,-1,07-14-2021
ma se i  vaccini funzionano perché obbligare tutti  chi è  vaccinato dovrebbe essere protetto    e se il  vaccino  funzionicchia  a cosa serve il  greenpass     staseraitalia,-1,07-15-2021
green pass falsi e vaccini venduti sul dark web  sequestrati  canali telegram   migliaia di potenziali clienti   via ,0,07-07-2021
difenderemo chiunque sarà discriminato nei suoi diritti inviolabili di libertà   ad affermarlo  in un intervista all adnkronos  è il presidente del codacons carlo rienzi green pass  greenpassobbligatorio  greenpass   ,0,07-15-2021
mi associo  greenpass  scuola   dad  variantivarie  covid ,1,07-14-2021
girano strane voci     si parla di greenpass     ma anche di obbligatorietà        solite balle   no perché altrimenti bisogna veramente fare qualcosa    ,0,07-15-2021
io al momento sto seguendo una terapia a causa di un problema ai reni  quindi finché non la finisco non mi posso vaccinare  la domanda è  se sta cosa del greenpass la confermano praticamente che non posso fare    premetto potrò fare il vaccino dopo aver finito la terapia farmaco,0,07-14-2021
io mi metto sempre in discussione  ma per fortuna che c è qualcuno che ogni volta che si esprime mi fa capire che quello che penso io è giusto  pensando esattamente l opposto  grazie  greenpass  vaccini ,0,07-14-2021
non è obbligatorio vaccinarsi  mah   io se voglio lavorare ho dovuto farlo   giusto  sbagliato      green pass mi ricorda la stella  cucita sui vestiti delle persone in tempo di guerra nei ghetti ,-1,07-15-2021
senza green pass in francia non si potrà piu entrare nei luoghi al chiuso pubblici   speriamo che questo passo di civiltà venga fatto presto anche in italia  sveglia    ,1,07-12-2021
vaccini e green pass falsi  sequestrati canali telegram  pacchetti  tutto incluso  venduti a   euro  ansa   ,0,07-03-2021
pretendere che l esercente chieda il green pass al cliente è come imporre al concessionario di controllare che il cliente  dopo acer acquistato l auto  la guidi rispettando il codice della strada   nogreenpass  greenpass,-1,07-14-2021
se l italia copia la francia con le dittature del  greenpass voglio che tolgano anche da noi il bidè  così ve vojo vedè tutti a cosce larghe con il culo zozzo e puzzolente   equità  provax,-1,07-14-2021
sui treni veloci potrebbe tornare il   della capienza con tutti i passeggeri muniti di green pass   leggi qui   lachirico ,0,07-12-2021
e no  così non va   io ho fatto la mia parte sempre ho rispettato lockdown e restrizioni ero qui a lavoro mentre tutti erano protetti in casa per fare la mia parte ho il green pass e non accetto per i dementi no vax di avere ora restrizioni lo stato deve agire  obbligovaccinale ,1,07-13-2021
il  greenpass è incostituzionale  detto questo la libertà di circolazione e personale non può essere limitata con la rettifica dell ue io vado dove voglio  liberoovunque ,-1,07-06-2021
un bar o un ristorante che all ingresso chiederanno il  greenpass possono per me  serenamente fallire ,-1,07-14-2021
green pass al via ma non per tutti  «buchi» della legge  le norme poco chiare penalizzano genitori e italiani all estero  ,0,07-01-2021
se i vaccinati possono contagiare il  greenpass è uno strumento di discriminazione e non di prevenzione della diffusione del virus ,-1,07-14-2021
ho rispettato le regole  non ho contratto il covid  ho fatto entrambe le dosi di vaccino  ora mi sembra giusto condividere ristoranti  trasporti  cinema ecc ecc con chi ha fatto lo stesso  greenpass,1,07-14-2021
che vi piaccia oppure no il  greenpass o meglio detto  lasciapassarenazista è anticostituzionale e contro la legge  in special modo  rischia di creare una vera e propria discriminazione tra cittadini di serie a e di serie b  dovete fallire tutti ,-1,07-01-2021
green pass falsi venduti sul dark web  scoperto traffico ,0,07-03-2021
il green pass sara la vostra fine ,-1,07-14-2021
l idea del green pass per vivere è una follia nazista partorita da menti drammaticamente naziste  a queste menti marce io dico  attenti anche il nazismo sembrava invincibile poi hitler si è suicidato e i gerarchi giustiziati   nogrennpass  nogrennpass  nogrennpass  nogrennpass,-1,07-13-2021
le cure funzionano  sono una realtà  i vaccini invece  funzionicchiano   o forse non funzionano come vorremmo  o forse ci sono troppe reazioni avverse  diciamo no al  greenpass e no all  obbligovaccinale  diciamo si alle  terapiedomiciliaricovid,-1,07-13-2021
obbligo vaccinale o green pass  «modello macron anche in italia»   il sole  ore quindi  crisanti   burioni ⁦⁩  ⁦⁩ sono i nuovi portatori di verità assoluta  e non sarebbe dittatura sanitaria questa  vergognatevi ,0,07-13-2021
vaccino o meno  non entrerò in nessun locale o esercizio che mi imponga un pass  di qualsiasi genere   greenpass,-1,07-14-2021
green pass e vaccini falsi  truffa web ,0,07-03-2021
vaccini e green pass falsi  sequestrati canali telegram ,0,07-04-2021
green pass covid obbligatorio per entrare in ristoranti  cinema o teatri  ma anche per prendere il treno o  più in generale  in tutti gli eventi o luoghi in cui sono riunite più di  persone  la francia annuncia nuove misure e restrizioni contro la   ,0,07-14-2021
io il vaccino ho paura di farlo  saró legittimato a cagarmi addosso ad iniettarmi una cosa fatta in fretta e furia dove le cavie siamo noi non sono un negazionista ho altri vaccini ma ho paura e non copre dalle varianti  e non puoi obbligare i cittadini a scelte per il  greenpass,-1,07-14-2021
trasporti  ipotesi treni ad alta velocità pieni al   ma si sale solo con il green pass ,0,07-11-2021
avete voluto questa euro dittatura per poter girare senza fermarsi a esibire un passaporto alle frontiere degli stati ma siete gli stessi con lo straccio blu che vogliono il greenpass per poter andare al bar sotto casa  siete il cancro siete malati mentali pazzi autolesionisti,-1,07-14-2021
ritengo che imporre il green pass anche solo per accedere ad un bar  in poste o in qualsiasi altro luogo pubblico sia socialmente  moralmente e costituzionalmente inaccettabile ,-1,07-14-2021
discoteche niente riaperture il  luglio nonostante il green pass  la rabbia di un imprenditore   chiudo tutto e lascio a casa  dipendenti     discoteche  niente  riaperture  ,0,07-05-2021
