content,sentiment
lariachetiraestate green pass metodo nazista altro che salute è il pretesto x opprimere e bloccare è un ricatto,-1
a cosa serve il green pass per i vaccinati se possono contrarre il covid e contagiare,-1
col green pass è discriminazione ma quale via libera,-1
siamo al ricatto…… non ho parole green pass per i locali pubblici lipotesi sul tavolo del cts di g cerami,-1
green pass obbligatorio e clandestini liberi pagliacci,-1
attenzione fra un po ci vorrà il greenpass persino per pisciare bisogna ribellarsi,-1
veramente il green pass andrebbe abolito immediatamente in quanto inutile e discriminatorio cosi come andrebbero abolite tutte le covidfisime le cure i vaccini le protezioni ci sono ognuno deve essere libero di regolarsi come meglio crede,-1
il green pass non deve proprio esistere in nessun caso altrimenti sarete complici,-1
oppure più comodamente vaccinarsi salvinivaccinati greenpassobbligatorio greenpass,1
rendiamo il greenpass obbligatorio per gli stadi italiani e vi faccio vedere io l impennata dei vaccini,1
stavolta sono d accordo con lui senza green pass certe cose non puoi farle punto e capo,1
con il greenpass ovviamente tienimi aggiornato quando parte speriamo il prima possibile,1
io lo spero vivamente il green pass alla francese deve essere la regola,1
greenpass non cè alternativa,1
mettete obbligatorio il green pass anche per respirare a partire dal agosto o da settembre,1
la soluzione sarebbe introdurre il green pass ovunque per andare al bar in aereo al lavoro in autostrada al supermercato negli uffici pubblici nei luoghi allaperto e far pagare € il tampone che valga solo ore vedi come si prosciuga la palude novax,1
tutti con il green pass,1
greenpass e libertà,1
il greenpass sarà essenziale per la vita,1
sarei più sicura ad entrare in un ristorante o bar dove tutti hanno il green pass la sicurezza e un incentivo indispensabile che mi farebbe entrare in in bar piu spesso,1
covid gelmini via italiana alluso ampio del green pass,0
coronavirus ipotesi di green pass esteso si va verso il modello macron,0
con l applicazione stocard è possibile salvare il green pass,0
green pass sui social scoppia il caos siviaggia,0
coronavirus liguria prima regione in italia a varare legge su accesso ospedali con green pass,0
green pass italia salvini ne parleremo se e quando servirà,0
green pass per accedere a eventi e locali il governo ci sta pensando,0
perché il green pass piace tanto al crimine informatico,0
greenpass europeo si parte da oggi sarà attiva la certificazione verde covid dell ue come richiederlo e come funziona in italia,0
il greenpass si può richiedere anche in farmacia e dai medici di base,0
