id,text,sentiment
1,So bad why upgrade?,negative
2,Deserved.,negative
3,What!! a!! UPGRADE!!!,positive
4,was hoping for 80plus pace,negative
5,great player,positive
6,deserved upgrade... but the stats tho? o.O,negative
7,he was a monster.,positive
8,GOAT,positive
9,still OP ngl..,positive
10,sad decline,negative
11,Who else absolutely despises the new icon card design?,neutral
12,Can we all agree to keep him over 100k?,neutral
13,Deserved 85,negative
14,He definetely deserves 85.,negative
15,should be 88,negative
16,100k+ at release,neutral
17,*Barely has two stats 85 or higher*,negative
18,How did this guy get an upgrade? Deserves to be the same.,negative
19,'Deserves lower rating he is far from the best keepers in Bundesliga.',negative
20,Legend - miss you already. Merci O Monstro<3,positive
21,'Atleast he still got 60 Pace def gonna be one of my CBs. The second one will be a fast one.',positive
22,Legend - miss you already. Merci O Monstro<3,positive
23,'He\'s a joke,little to no defensive support from playing as a holding mid along side Matic,Fred,or McTominay,terrible work rates. But I admit,he\'s one of the best passers in the PL,but he thinks he\'s all that,his negative impact on the dressing room,he just brought drama we didn\'t need along side Mino smh,and now he wants to stay,he hasn\'t been the same player since returning and I don\'t think he\'ll ever be as good as he used to be. Just my opinions tho',negative
24,68 pace lmao he\'s only got one leg,negative
25,Paul Liability Pogba! Should have been downgraded more imo,negative
26,didnt deserve a downgrade tbh,negative
27,Overrated.,negative
28,he will be a beast,positive
29,deserves 5*5*,negative
30,absolute tank - great card,positive
31,How is he rated?,neutral
32,Becoming more useless every fifa since 17,negative
33,he is not so good now for SBC,negative
34,really no reason for downgrading him,negative
35,him or phil jones ?,neutral
36,'Deserved to be the best defender in FIFA 21. I wouldn\'t mind if Ramos had the same rating though,he had an amazing season.',negative
37,still unusable rip,negative
38,Downgrade for what exactly?,negative
39,0* weak foot finally!!!,positive
40,i guess he will be the cheapest 84 now,neutral
41,what\'s my name,neutral
42,Brilliant keeper,positive
43,'Can’t believe they did this,absolutely insane',negative
44,Should\'ve been 85 or 86,negative
45,Doesnt necessarily deserved an upgrade this season.,negative
46,34 years old and getting a +2 upgrade fair play,positive
47,'This is actually crazy,I can\'t recall EA ever giving such a boost to an old guy.',negative
48,Reminds me of his FIFA 13 card - what a beast he was,positive
49,'Wtf,why did he got a downgrade,hes been top but hey,it seems its a theme this time.',negative
50,goat,positive
51,i wont pay 60 $ ,neutral
52,nice starter squad suspect,positive
53,should be a 83,negative
54,fits the meta,positive
55,'Look at the stats... 87 overall they say,what a joke.',negative
56,'As a Slovak im perfectly fine with this small downgrade. But that De Vrij rating is criminal,he was the best Inter (and Seria A) defender last season,by far.',negative
